//基本HPデータベース
//NV,SM,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,CR,MO,SA,RG,AM,BA,DC,SNV,TK,SG,SL,GS,NJ,MB,DE,DA,RK,WL,RA,AB,NC,GC,LG,SO,MI,WA,SR,GN,SC,ESNV,KG,OB,RB,SU,SJ,SP,DK,MT,SHC,AG,CD,WH,IG,BO,ABC,EM,IQ,TRB,TRV
140,302,210,260,232,232,260,490,315,267,348,336,394,436,379,315,336,348,273,273,140,302,379,315,379,315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,322,222,276,246,246,276,528,337,284,373,360,423,467,406,337,360,373,293,293,145,322,406,337,406,337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,483,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,343,234,293,260,260,293,568,359,302,399,385,453,499,433,359,385,399,313,313,150,343,433,359,433,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
155,365,246,310,275,275,310,609,382,320,426,410,484,532,462,382,410,426,334,334,155,365,462,382,462,382,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
160,388,259,328,290,290,328,652,406,339,454,436,517,567,491,406,436,454,356,356,160,388,491,406,491,406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,411,272,346,305,305,346,696,431,358,482,463,551,603,521,431,463,482,379,379,165,411,521,431,521,431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,616,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
170,435,285,365,321,321,365,742,456,378,511,491,586,640,551,456,491,511,402,402,170,435,551,456,551,456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
175,460,298,384,337,337,384,789,482,398,541,520,622,678,583,482,520,541,426,426,175,460,583,482,583,482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,690,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,485,312,404,354,354,404,838,509,419,572,550,659,717,615,509,550,572,451,451,180,485,615,509,615,509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,511,326,424,371,371,424,888,537,441,604,581,697,757,649,537,581,604,477,477,185,511,649,537,649,537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,767,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,538,340,445,388,388,445,940,565,463,637,612,736,798,683,565,612,637,503,503,190,538,683,565,683,565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,807,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,565,355,466,406,406,466,993,594,486,671,644,776,840,719,594,644,671,530,530,195,565,719,594,719,594,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,593,370,488,424,424,488,1048,624,509,706,677,817,883,755,624,677,706,558,558,200,593,755,624,755,624,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
205,622,385,510,443,443,510,1104,655,533,742,711,859,927,793,655,711,742,587,587,205,622,793,655,793,655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
210,652,401,533,462,462,533,1162,686,557,779,746,903,973,831,686,746,779,616,616,210,652,831,686,831,686,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
215,682,417,556,481,481,556,1221,718,582,816,782,948,1020,870,718,782,816,646,646,215,682,870,718,870,718,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
220,713,433,580,501,501,580,1282,751,607,854,818,994,1068,909,751,818,854,677,677,220,713,909,751,909,751,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,745,449,604,521,521,604,1344,785,633,893,855,1041,1117,950,785,855,893,709,709,225,745,950,785,950,785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
230,777,466,629,542,542,629,1408,819,659,933,893,1089,1167,991,819,893,933,741,741,230,777,991,819,991,819,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
235,810,483,654,563,563,654,1473,854,686,974,932,1138,1218,1034,854,932,974,774,774,235,810,1034,854,1034,854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
240,844,500,680,584,584,680,1540,890,714,1016,972,1188,1270,1077,890,972,1016,808,808,240,844,1077,890,1077,890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,878,518,706,606,606,706,1608,927,742,1059,1013,1239,1323,1122,927,1013,1059,843,843,245,878,1122,927,1122,927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
250,913,536,733,628,628,733,1678,964,771,1103,1055,1291,1377,1167,964,1055,1103,878,878,250,913,1167,964,1167,964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1370,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
255,949,554,760,651,651,760,1749,1002,800,1148,1097,1344,1432,1214,1002,1097,1148,914,914,255,949,1214,1002,1214,1002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,986,573,788,674,674,788,1822,1041,830,1194,1140,1399,1489,1261,1041,1140,1194,951,951,260,986,1261,1041,1261,1041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1479,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
265,1023,592,816,697,697,816,1896,1081,860,1240,1184,1455,1547,1309,1081,1184,1240,989,989,265,1023,1309,1081,1309,1081,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
270,1061,611,845,721,721,845,1972,1121,891,1287,1229,1512,1606,1357,1121,1229,1287,1027,1027,270,1061,1357,1121,1357,1121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1592,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
275,1100,630,874,745,745,874,2049,1162,922,1335,1275,1570,1666,1407,1162,1275,1335,1066,1066,275,1100,1407,1162,1407,1162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
280,1139,650,904,770,770,904,2128,1204,954,1384,1322,1629,1727,1457,1204,1322,1384,1106,1106,280,1139,1457,1204,1457,1204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
285,1179,670,934,795,795,934,2208,1247,987,1434,1370,1689,1789,1509,1247,1370,1434,1147,1147,285,1179,1509,1247,1509,1247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1769,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,1220,690,965,820,820,965,2290,1290,1020,1485,1418,1750,1852,1561,1290,1418,1485,1188,1188,290,1220,1561,1290,1561,1290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,1261,711,996,846,846,996,2373,1334,1054,1537,1467,1812,1916,1615,1334,1467,1537,1230,1230,295,1261,1615,1334,1615,1334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,1303,732,1028,872,872,1028,2458,1379,1088,1590,1517,1875,1981,1669,1379,1517,1590,1273,1273,300,1303,1669,1379,1669,1379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
305,1346,753,1060,899,899,1060,2544,1425,1123,1644,1568,1939,2047,1725,1425,1568,1644,1317,1317,305,1346,1725,1425,1725,1425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
310,1390,775,1093,926,926,1093,2632,1471,1158,1699,1620,2005,2115,1781,1471,1620,1699,1361,1361,310,1390,1781,1471,1781,1471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2085,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
315,1434,797,1126,953,953,1126,2721,1518,1194,1754,1673,2072,2184,1838,1518,1673,1754,1406,1406,315,1434,1838,1518,1838,1518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
320,1479,819,1160,981,981,1160,2812,1566,1230,1810,1726,2140,2254,1895,1566,1726,1810,1452,1452,320,1479,1895,1566,1895,1566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
325,1525,841,1194,1009,1009,1194,2904,1615,1267,1867,1780,2209,2325,1954,1615,1780,1867,1499,1499,325,1525,1954,1615,1954,1615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
330,1571,864,1229,1038,1038,1229,2998,1664,1304,1925,1835,2279,2397,2013,1664,1835,1925,1546,1546,330,1571,2013,1664,2013,1664,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
335,1618,887,1264,1067,1067,1264,3093,1714,1342,1984,1891,2350,2470,2074,1714,1891,1984,1594,1594,335,1618,2074,1714,2074,1714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340,1666,910,1300,1096,1096,1300,3190,1765,1381,2044,1948,2422,2544,2135,1765,1948,2044,1643,1643,340,1666,2135,1765,2135,1765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
345,1714,934,1336,1126,1126,1336,3288,1817,1420,2105,2006,2495,2619,2198,1817,2006,2105,1693,1693,345,1714,2198,1817,2198,1817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
350,1763,958,1373,1156,1156,1373,3388,1869,1460,2167,2065,2569,2695,2261,1869,2065,2167,1743,1743,350,1763,2261,1869,2261,1869,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2645,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
355,1813,982,1410,1187,1187,1410,3489,1922,1500,2230,2124,2644,2772,2326,1922,2124,2230,1794,1794,355,1813,2326,1922,2326,1922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
360,1864,1007,1448,1218,1218,1448,3592,1976,1541,2294,2184,2721,2851,2391,1976,2184,2294,1846,1846,360,1864,2391,1976,2391,1976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
365,1915,1032,1486,1249,1249,1486,3696,2031,1582,2358,2245,2799,2931,2457,2031,2245,2358,1899,1899,365,1915,2457,2031,2457,2031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2873,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
370,1967,1057,1525,1281,1281,1525,3802,2086,1624,2423,2307,2878,3012,2523,2086,2307,2423,1952,1952,370,1967,2523,2086,2523,2086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
375,2020,1082,1564,1313,1313,1564,3909,2142,1666,2489,2370,2958,3094,2591,2142,2370,2489,2006,2006,375,2020,2591,2142,2591,2142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
380,2073,1108,1604,1346,1346,1604,4018,2199,1709,2556,2434,3039,3177,2659,2199,2434,2556,2061,2061,380,2073,2659,2199,2659,2199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
385,2127,1134,1644,1379,1379,1644,4128,2257,1753,2624,2499,3121,3261,2729,2257,2499,2624,2117,2117,385,2127,2670,2257,2670,2257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
390,2182,1160,1685,1412,1412,1685,4240,2315,1797,2693,2564,3204,3346,2799,2315,2564,2693,2173,2173,390,2137,2680,2315,2680,2315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3273,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
395,2237,1187,1726,1446,1446,1726,4353,2374,1842,2763,2630,3288,3432,2871,2374,2630,2763,2230,2230,395,2147,2690,2374,2690,2374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
400,2293,1214,1768,1480,1480,1768,4468,2434,1887,2834,2697,3373,3519,2943,2434,2697,2834,2288,2288,400,2157,2700,2434,2700,2434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
405,2350,1241,1810,1515,1515,1810,4584,2495,1933,2906,2765,3459,3607,3017,2495,2765,2906,2347,2347,405,2167,2710,2495,2710,2495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3525,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
410,2408,1269,1853,1550,1550,1853,4702,2556,1979,2979,2834,3547,3697,3091,2556,2834,2979,2406,2406,410,2177,2720,2556,2720,2556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
415,2466,1297,1896,1585,1585,1896,4821,2618,2026,3052,2904,3636,3788,3166,2618,2904,3052,2466,2466,415,2187,2730,2618,2730,2618,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
420,2525,1325,1940,1621,1621,1940,4942,2681,2073,3126,2974,3726,3880,3241,2681,2974,3126,2527,2527,420,2197,2740,2681,2740,2681,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
425,2585,1353,1984,1657,1657,1984,5064,2745,2121,3201,3045,3817,3973,3318,2745,3045,3201,2589,2589,425,2200,2750,2745,2750,2745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
430,2645,1382,2029,1694,1694,2029,5188,2809,2169,3277,3117,3909,4067,3395,2809,3117,3277,2651,2651,430,2210,2760,2809,2760,2809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
