// ステータス異常データベース
// ID,Name,SaveFlag,Releasable,Disable,Copyable
// 状態異常ID,名前（ダミー）,セーブ可否,解除可否フラグ,無効可否フラグ,複写可否フラグ
// 　※注：SaveFlagが-1のものは基本的に変更しないでください、サーバクラッシュする可能性があります

212,SC_SERVICE4U_,0,1,0,0			// サービスフォーユー（範囲外）
213,SC_BATTLEORDER,0,1,0,0		// 臨戦態制
214,SC_REGENERATION,0,1,0,0		// 激励
215,SC_BATTLEORDER_DELAY,1,0,0,0		// 臨戦態制ディレイ
216,SC_REGENERATION_DELAY,1,0,0,0		// 激励ディレイ
217,SC_RESTORE_DELAY,1,0,0,0		// 治療ディレイ
218,SC_EMERGENCYCALL_DELAY,1,0,0,0	// 緊急召集ディレイ
//
220,SC_THE_MAGICIAN,0,1,0,0		// 魔法師（タロットカード用）
221,SC_STRENGTH,0,1,0,0			// 力（タロットカード用）
222,SC_THE_DEVIL,0,1,0,0			// 悪魔（タロットカード用）
223,SC_THE_SUN,0,1,0,0			// 太陽（タロットカード用）
224,SC_MEAL_INCSTR,1,1,0,0		// STR上昇（食事用）
225,SC_MEAL_INCAGI,1,1,0,0		// AGI上昇（食事用）
226,SC_MEAL_INCVIT,1,1,0,0		// VIT上昇（食事用）
227,SC_MEAL_INCINT,1,1,0,0		// INT上昇（食事用）
228,SC_MEAL_INCDEX,1,1,0,0		// DEX上昇（食事用）
229,SC_MEAL_INCLUK,1,1,0,0		// LUK上昇（食事用）
230,SC_RUN,0,1,0,0			// タイリギ
231,SC_SPURT,0,1,0,0			// タイリギスパート状態
232,SC_TKCOMBO,0,1,0,0			// テコンコンボ
233,SC_DODGE,0,0,0,0			// 落法
234,SC_HERMODE,0,1,0,0			// ヘルモードの杖
235,SC_TRIPLEATTACK_RATE_UP,0,1,0,0	// 三段発動率アップ
236,SC_COUNTER_RATE_UP,0,1,0,0		// アプチャオルリギ発動率アップ
237,SC_WARM,0,17,0,0			// 温もり
238,SC_SEVENWIND,0,102,0,0		// 暖かい風
//
240,SC_SUN_COMFORT,0,17,0,0		// 太陽の安楽
241,SC_MOON_COMFORT,0,17,0,0		// 月の安楽
242,SC_STAR_COMFORT,0,17,0,0		// 星の安楽
243,SC_FUSION,0,17,0,0			// 太陽と月と星の融合
244,SC_ALCHEMIST,0,19,0,0			// アルケミストの魂
245,SC_MONK,0,19,0,0			// モンクの魂
246,SC_STAR,0,19,0,0			// 拳聖の魂
247,SC_SAGE,0,19,0,0			// セージの魂
248,SC_CRUSADER,0,19,0,0			// クルセイダーの魂
249,SC_SUPERNOVICE,0,19,0,0		// スーパーノービスの魂
250,SC_KNIGHT,0,19,0,0			// ナイトの魂
251,SC_WIZARD,0,19,0,0			// ウィザードの魂
252,SC_PRIEST,0,19,0,0			// プリーストの魂
253,SC_BARDDANCER,0,19,0,0		// バードとダンサーの魂
254,SC_ROGUE,0,17,0,0			// ローグの魂
255,SC_ASSASIN,0,19,0,0			// アサシンの魂
256,SC_BLACKSMITH,0,19,0,0		// ブラックスミスの魂
257,SC_HUNTER,0,19,0,0			// ハンターの魂
258,SC_SOULLINKER,0,17,0,0		// ソウルリンカーの魂
259,SC_HIGH,0,19,0,0			// 一次上位職業の魂
260,SC_DEATHKINGHT,0,19,0,0		// デスナイトの魂
261,SC_COLLECTOR,0,19,0,0			// ダークコレクターの魂
262,SC_NINJA,0,19,0,0			// 忍者の魂
263,SC_GUNNER,0,19,0,0			// ガンスリンガーの魂
264,SC_KAIZEL,0,19,0,0			// カイゼル
265,SC_KAAHI,0,19,0,0			// カアヒ
266,SC_KAUPE,0,19,0,0			// カウプ
267,SC_KAITE,0,19,0,0			// カイト
268,SC_SMA,0,1,0,0			// エスマ詠唱可能状態
269,SC_SWOO,0,1,0,0			// エスウ
270,SC_SKE,0,1,0,0			// エスク
271,SC_SKA,0,1,0,0			// エスカ
272,SC_ONEHAND,0,17,14,0			// ワンハンドクイッケン
273,SC_READYSTORM,0,1,0,0			// フェオリチャギの構え
274,SC_READYDOWN,0,1,0,0			// ネリョチャギの構え
275,SC_READYTURN,0,1,0,0			// トルリョチャギの構え
276,SC_READYCOUNTER,0,1,0,0		// アプチャオルリギの構え
277,SC_DODGE_DELAY,0,1,0,0		// 落法（スパート時）
278,SC_AUTOBERSERK,0,1,0,0		// オートバーサーク
//
280,SC_DOUBLECASTING,0,1,0,0		// ダブルキャスティング
281,SC_ELEMENTFIELD,0,1,0,0		// 属性場
282,SC_DARKELEMENT,0,103,0,0		// 闇（武器）
283,SC_ATTENELEMENT,0,103,0,0		// 念（武器）
284,SC_MIRACLE,0,0,0,0			// 太陽と月と星の奇跡
285,SC_ANGEL,0,1,0,0			// 太陽と月と星の天使
286,SC_FORCEWALKING,0,1,0,0		// 強制移動状態
287,SC_DOUBLE,0,1,0,0			// ダブルストレイフィング状態
//
289,SC_BABY,0,0,0,0			// パパ、ママ、大好き
290,SC_LONGINGFREEDOM,0,1,0,0		// 私を縛らないで
291,SC_SHRINK,0,1,0,0			// シュリンク
292,SC_CLOSECONFINE,0,1,0,0		// クローズコンファイン
293,SC_SIGHTBLASTER,0,1,0,0		// サイトブラスター
294,SC_ELEMENTWATER,0,97,0,0		// ウォーターエレメンタルチェンジ
295,SC_MEAL_INCHIT,1,1,0,0		// HIT上昇（食事用）
296,SC_MEAL_INCFLEE,1,1,0,0		// fLEE上昇（食事用）
297,SC_MEAL_INCFLEE2,0,1,0,0		// FLEE2上昇（食事用）
298,SC_MEAL_INCCRITICAL,1,1,0,0		// CRITICAL上昇（食事用）
299,SC_MEAL_INCDEF,0,1,0,0		// DEF上昇（食事用）
300,SC_MEAL_INCMDEF,0,1,0,0		// MDEF上昇（食事用）
301,SC_MEAL_INCATK,0,1,0,0		// ATK上昇（食事用）
302,SC_MEAL_INCMATK,0,1,0,0		// MATK上昇（食事用）
303,SC_MEAL_INCEXP,0,1,0,0		// BASEEXP上昇（食事用）
304,SC_MEAL_INCJOB,0,1,0,0		// JOBEXP上昇（食事用）
305,SC_ELEMENTGROUND,0,97,0,0		// 土（鎧）
306,SC_ELEMENTFIRE,0,97,0,0		// 火（鎧）
307,SC_ELEMENTWIND,0,97,0,0		// 風（鎧）
308,SC_WINKCHARM,0,9,0,0			// 魅惑のウィンク
309,SC_ELEMENTPOISON,0,97,0,0		// 毒（鎧）
310,SC_ELEMENTDARK,0,97,0,0		// 闇（鎧）
311,SC_ELEMENTELEKINESIS,0,97,0,0		// 念（鎧）
312,SC_ELEMENTUNDEAD,0,97,0,0		// 不死（鎧）
313,SC_UNDEADELEMENT,0,103,0,0		// 不死（武器）
314,SC_ELEMENTHOLY,0,97,0,0		// 聖（鎧）
315,SC_NPC_DEFENDER,0,1,0,0		// NPCディフェンダー
316,SC_RESISTWATER,0,3,0,0		// 水耐性
317,SC_RESISTGROUND,0,3,0,0		// 土耐性
318,SC_RESISTFIRE,0,3,0,0			// 火耐性
319,SC_RESISTWIND,0,3,0,0			// 風耐性
320,SC_RESISTPOISON,0,3,0,0		// 毒耐性
321,SC_RESISTHOLY,0,3,0,0			// 聖耐性
322,SC_RESISTDARK,0,3,0,0			// 闇耐性
323,SC_RESISTTELEKINESIS,0,3,0,0		// 念耐性
324,SC_RESISTUNDEAD,0,3,0,0		// 不死耐性
325,SC_RESISTALL,0,1,0,0			// 全属性耐性
326,SC_RACEUNKNOWN,0,1,0,0		// 無形
327,SC_RACEUNDEAD,0,3,0,0			// 不死種族
328,SC_RACEBEAST,0,3,0,0			// 動物種族
329,SC_RACEPLANT,0,3,0,0			// 植物種族
330,SC_RACEINSECT,0,3,0,0			// 昆虫種族
//
332,SC_RACEFISH,0,3,0,0			// 魚種族
333,SC_RACEDEVIL,0,3,0,0			// 悪魔種族
334,SC_RACEHUMAN,0,3,0,0			// 人間種族
335,SC_RACEANGEL,0,3,0,0			// 天使種族
336,SC_RACEDRAGON,0,3,0,0			// 竜種族
337,SC_TIGEREYE,0,1,0,0			// タイガーアイ（ハイド見破り）
338,SC_GRAVITATION_USER,-1,1,0,0		// グラビテーションフィールド（使用者）
339,SC_GRAVITATION,0,1,0,0		// グラビテーションフィールド
340,SC_FOGWALL,0,1,0,0			// ウォールオブフォグ
341,SC_FOGWALLPENALTY,0,1,1,0		// ウォールオブフォグによるペナルティ
//
//
344,SC_STOP,-1,1,0,0			// ホールドウェブ
345,SC_INVISIBLE,0,1,0,0			// インビジブル
346,SC_MODECHANGE,0,0,0,0			// モードチェンジ
347,SC_FLING,0,1,0,0			// フライング
348,SC_MADNESSCANCEL,0,1,0,0		// マッドネスキャンセラー
349,SC_ADJUSTMENT,0,1,0,0			// アジャストメント
350,SC_INCREASING,0,1,0,0			// インクリーシングアキュアラシー
351,SC_DISARM,0,1,0,0			// ディスアーム
352,SC_GATLINGFEVER,0,1,0,0		// ガトリングフィーバー
353,SC_FULLBUSTER,0,1,0,0			// ブルバスター
354,SC_TATAMIGAESHI,0,1,0,0		// 畳返し
355,SC_UTSUSEMI,0,67,0,0			// 空蝉
356,SC_BUNSINJYUTSU,0,67,0,0		// 分身の術
357,SC_SUITON,-1,1,0,0			// 水遁
358,SC_NEN,0,1,0,0			// 念
359,SC_AVOID,0,1,0,0			// 緊急回避
360,SC_CHANGE,0,1,0,0			// メンタルチェンジ
361,SC_DEFENCE,0,1,0,0			// ディフェンス
362,SC_BLOODLUST,0,1,0,0			// ブラッドラスト
363,SC_FLEET,0,1,0,0			// フリートムーブ
364,SC_SPEED,0,1,0,0			// オーバードスピード
365,SC_ADRENALINE2,0,17,14,0		// フルアドレナリンラッシュ
366,SC_STATUS_UNCHANGE,0,1,0,0		// 状態異常耐性（ゴスペル用）
367,SC_INCDAMAGE,0,1,0,0			// 被ダメージが%上昇（ゴスペル用）
368,SC_COMBATHAN,1,0,0,0			// 戦闘教範
369,SC_LIFEINSURANCE,1,0,0,0		// 生命保険証
370,SC_ITEMDROPRATE,1,0,0,0		// バブルガム
371,SC_BOSSMAPINFO,0,1,0,0		// 凸面鏡
372,SC_MEAL_INCSTR2,1,0,0,0		// STR上昇（食事用、死亡しても効果維持）
373,SC_MEAL_INCAGI2,1,0,0,0		// AGI上昇（食事用、死亡しても効果維持）
374,SC_MEAL_INCVIT2,1,0,0,0		// VIT上昇（食事用、死亡しても効果維持）
375,SC_MEAL_INCDEX2,1,0,0,0		// DEX上昇（食事用、死亡しても効果維持）
376,SC_MEAL_INCINT2,1,0,0,0		// INT上昇（食事用、死亡しても効果維持）
377,SC_MEAL_INCLUK2,1,0,0,0		// LUK上昇（食事用、死亡しても効果維持）
378,SC_SLOWCAST,0,0,0,1			// スロウキャスト
379,SC_CRITICALWOUND,0,0,0,1		// 致命傷
380,SC_MAGICMIRROR,0,1,0,0		// マジックミラー
381,SC_STONESKIN,0,1,0,0			// ストーンスキン
382,SC_ANTIMAGIC,0,1,0,0			// アンチマジック
383,SC_WEAPONQUICKEN,0,7,14,0		// ウェポンクイッケン
384,SC_HAPPY,0,1,0,0			// 楽しい状態
385,SC_NATURAL_HEAL_STOP,0,1,0,0		// 自然回復停止
386,SC_REBIRTH,0,0,0,0			// リバース
387,SC_HELLPOWER,1,0,0,1			// ヘルパワー
388,SC_ENCHANTBLADE,0,513,0,0		// エンチャントブレイド
389,SC_BERKANA,0,257,0,0			// ミレニアムシールド
390,SC_NAUTHIZ,0,1,0,0			// リフレッシュ
391,SC_TURISUSS,0,513,0,0			// ジャイアントグロース
392,SC_HAGALAZ,0,1,0,0			// ストーンハードスキン
393,SC_ISHA,0,513,0,0			// バイタリティアクティベーション
394,SC_EISIR,0,1,0,0			// ファイティングスピリット
395,SC_URUZ,0,1,0,0			// アバンダンス
396,SC_DEATHBOUND,0,1,0,0			// デスバウンド
397,SC_FEAR,0,1,1,1			// 恐怖
398,SC_VENOMIMPRESS,0,1,0,1		// ベナムインプレス
399,SC_POISONINGWEAPON,0,1,0,0		// ポイズニングウェポン
400,SC_WEAPONBLOCKING,0,1,0,0		// ウェポンブロッキング
401,SC_WEAPONBLOCKING2,0,1,0,0		// ウェポンブロッキング（ブロック後）
402,SC_CLOAKINGEXCEED,0,1,0,0		// クローキングエクシード
403,SC_HALLUCINATIONWALK,0,1,0,0		// ハルシネーションウォーク
404,SC_HALLUCINATIONWALK2,0,1,0,0		// ハルシネーションウォーク（ペナルティ）
405,SC_ROLLINGCUTTER,0,1,0,0		// ローリングカッター
406,SC_TOXIN,0,1,1,1			// トキシン
407,SC_PARALIZE,0,1,1,1			// パラライズ
408,SC_VENOMBLEED,0,1,1,1			// ベナムブリード
409,SC_MAGICMUSHROOM,0,513,1,1		// マジックマッシュルーム
410,SC_DEATHHURT,0,1,1,1			// デスハート
411,SC_PYREXIA,0,1,1,1			// パイレックシア
412,SC_OBLIVIONCURSE,0,1,1,0		// オブリビオンカース
413,SC_LEECHEND,0,1,1,1			// リーチエンド
414,SC_EPICLESIS,0,1,0,0			// エピクレシス
415,SC_ORATIO,0,1,0,1			// オラティオ
416,SC_LAUDAAGNUS,0,513,0,0			// ラウダアグヌス
417,SC_LAUDARAMUS,0,513,0,0			// ラウダラムス
418,SC_RENOVATIO,0,513,0,0			// レノヴァティオ
419,SC_EXPIATIO,0,1,0,0			// エクスピアティオ
420,SC_DUPLELIGHT,0,1,0,0			// デュプレライト
421,SC_SACRAMENT,0,1,0,0			// サクラメント
422,SC_WHITEIMPRISON,0,1,1,0		// ホワイトインプリズン
423,SC_FROSTMISTY,0,513,1,1			// フロストミスティ
424,SC_MARSHOFABYSS,0,1,1,1		// マーシュオブアビス
425,SC_RECOGNIZEDSPELL,0,513,0,0		// リコグナイズドスペル
426,SC_STASIS,0,1,1,1			// ステイシス
427,SC_HELLINFERNO,0,513,1,1		// ヘルインフェルノ
428,SC_SUMMONBALL1,0,1,0,0		// サモンボール(1個目)
429,SC_SUMMONBALL2,0,1,0,0		// サモンボール(2個目)
430,SC_SUMMONBALL3,0,1,0,0		// サモンボール(3個目)
431,SC_SUMMONBALL4,0,1,0,0		// サモンボール(4個目)
432,SC_SUMMONBALL5,0,1,0,0		// サモンボール(5個目)
433,SC_SPELLBOOK,0,1,0,0			// スペルブック
434,SC_FEARBREEZE,0,1,0,0			// フィアーブリーズ
435,SC_ELECTRICSHOCKER,0,1,0,0		// エレクトリックショッカー
436,SC_WUGDASH,0,1,0,0			// ウォーグダッシュ
437,SC_WUGBITE,0,1,0,1			// ウォーグバイト
438,SC_CAMOUFLAGE,0,1,0,0			// カモフラージュ
439,SC_ACCELERATION,0,1,0,0		// アクセラレーション
440,SC_HOVERING,0,1,0,0			// ホバーリング
441,SC_OVERHEAT,0,1,0,0			// オーバーヒート
442,SC_SHAPESHIFT,0,1,0,0			// シェイプシフト
443,SC_INFRAREDSCAN,0,1,0,0		// インフラレッドスキャン
444,SC_ANALYZE,0,1,0,1			// アナライズ
445,SC_MAGNETICFIELD,0,1,0,0		// マグネティックフィールド
446,SC_NEUTRALBARRIER_USER,0,1,0,0	// ニュートラルバリアー(使用者)
447,SC_NEUTRALBARRIER,0,1,0,0		// ニュートラルバリアー
448,SC_STEALTHFIELD_USER,0,1,0,0		// ステルスフィールド(使用者)
449,SC_STEALTHFIELD,0,1,0,0		// ステルスフィールド
450,SC_MANU_ATK,0,1,0,0			// マヌクフィールドMOB(物理ダメージ上昇)
451,SC_MANU_DEF,0,1,0,0			// マヌクフィールドMOB(ダメージ減少)
452,SC_MANU_MATK,0,1,0,0			// マヌクフィールドMOB(魔法ダメージ上昇)
453,SC_SPL_ATK,0,1,0,0			// スプレンティッドフィールドMOB(物理ダメージ上昇)
454,SC_SPL_DEF,0,1,0,0			// スプレンティッドフィールドMOB(ダメージ減少)
455,SC_SPL_MATK,0,1,0,0			// スプレンティッドフィールドMOB(魔法ダメージ上昇)
456,SC__REPRODUCE,0,1,0,0			// リプロデュース
457,SC__AUTOSHADOWSPELL,0,1,0,0		// オートシャドウスペル
458,SC__SHADOWFORM,0,1,0,0		// シャドウフォーム
459,SC__BODYPAINT,0,1,0,1			// ボディペイント
460,SC__INVISIBILITY,0,1,0,0		// インビシビリティ
461,SC__DEADLYINFECT,0,1,0,0		// デッドリーインフェクト
462,SC__ENERVATION,0,1,0,1		// マスカレード ： エナーベーション
463,SC__GROOMY,0,1,0,1			// マスカレード ： グルーミー
464,SC__IGNORANCE,0,1,0,1			// マスカレード ： イグノアランス
465,SC__LAZINESS,0,1,0,1			// マスカレード ： レイジーネス
466,SC__UNLUCKY,0,1,0,1			// マスカレード ： アンラッキー
467,SC__WEAKNESS,0,1,0,1			// マスカレード ： ウィークネス
468,SC__STRIPACCESSARY,0,13,0,1		// ストリップアクセサリー
469,SC__MANHOLE,0,1,0,0			// マンホール
470,SC__BLOODYLUST,0,1,0,0		// ブラッディラスト
471,SC_REFLECTDAMAGE,0,1,0,0		// リフレクトダメージ
472,SC_FORCEOFVANGUARD,0,1,0,0		// フォースオブバンガード
473,SC_SHIELDSPELL_DEF,0,1,0,0		// シールドスペル(DEF)
474,SC_SHIELDSPELL_MDEF,0,1,0,0		// シールドスペル(MDEF)
475,SC_SHIELDSPELL_REF,0,1,0,0		// シールドスペル(精錬)
476,SC_EXEEDBREAK,0,1,0,0			// イクシードブレイク
477,SC_PRESTIGE,0,1,0,0			// プレスティージ
478,SC_BANDING,0,1,0,0			// バンディング
