//weight,hp,hp2,sp,aspd*24(素手,短剣,片手剣,両手剣,片手槍,両手槍,片手斧,両手斧,片手鈍器,両手鈍器,片手杖,弓,爪,楽器,鞭,本,カタール,ハンドガン,ライフル,ガトリンガン,ショットガン,グレネードガン,風魔手裏剣,両手杖,盾)
//x NV,SM,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,CR,MO,SA,RG,AM,BA,DC,SNV,TK,SG,SL,GS,NJ,MB,DK,DA,RK,WL,RA,AB,NC,GC,LG,SO,MI,WA,SR,GN,SC,ESNV,KG,OB
28000,110,700,470, 350, 480, 480, 550, 570, 570, 600, 600, 590, 590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40
26000, 90,650,470, 270,2000,2000,2000,2000,2000,2000,2000, 560, 560, 560,2000, 300,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 560,50
24000, 75,500,700, 400, 470,2000,2000,2000,2000,2000,2000,2000,2000, 580,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000, 580,50
24000, 85,500,500, 350, 470, 540,2000,2000,2000,2000,2000,2000,2000,2000, 570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
30000, 90,500,400, 340, 540, 560,2000,2000,2000, 590, 600, 580, 580,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 575,40
27000, 75,300,600, 380, 560,2000,2000,2000,2000,2000,2000,2000,2000,2000, 590,2000, 570,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
27000, 75,300,600, 380, 560,2000,2000,2000,2000,2000,2000,2000,2000,2000, 590,2000,2000, 570,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
20000,  0,500,100, 480, 590, 700,2000,2000,2000, 620,2000, 600, 600, 590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 590,70
28000, 70,500,200, 400,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
28000, 90,650,470, 380,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 510,2000,2000,2000,2000,2000,2000,2000,2000,60
24000, 75,500,900, 490, 560,2000,2000,2000,2000,2000,2000,2000,2000, 580,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 580,60
28000, -1,  0, -1, 490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 610, 620, 610, 890, 860,2000,2000,60
26000, -1,  0, -1, 340, 470,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 620,2000,60
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
20000,  0,500,100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
35000, -1,  0, -1, 490, 520, 520, 570, 590, 590, 590, 620, 580, 580,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40
30000, -1,  0, -1, 510, 570, 600,2000,2000,2000,2000,2000,2000,2000, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 550,60
32000, -1,  0, -1, 490, 560,2000,2000,2000,2000,2000,2000,2000,2000,2000, 460,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
30000, -1,  0, -1, 270,2000,2000,2000,2000,2000,2000,2000, 560, 560, 550,2000, 300,2000,2000, 480,2000,2000,2000,2000,2000,2000,2000, 610,40
38000, -1,  0, -1, 490, 530, 540,2000,2000,2000, 550, 580, 540, 540,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40
32000, -1,  0, -1, 470, 440, 570,2000,2000,2000, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000, 430,2000, 950,1200, 900,1000,1100,2000,60
35000, -1,  0, -1, 490, 490, 490, 560, 580, 580, 590, 610, 600, 600,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,50
30000, -1,  0, -1, 460, 520, 500,2000,2000,2000,2000,2000,2000,2000, 540,2000,2000,2000,2000, 480,2000,2000,2000,2000,2000,2000,2000, 540,60
32000, -1,  0, -1, 490, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 520,2000, 510,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
32000, -1,  0, -1, 490, 550,2000,2000,2000,2000,2000,2000,2000,2000,2000, 520,2000,2000, 510,2000,2000,2000,2000,2000,2000,2000,2000,2000,60
30000, -1,  0, -1, 200,2000,2000,2000,2000,2000,2000,2000, 550, 550, 570,2000, 220,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 570,50
32000, -1,  0, -1, 490, 530, 540,2000,2000,2000, 540, 570, 500, 500,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40
28000, -1,  0, -1, 470, 480, 560,2000,2000,2000,2000,2000,2000,2000,2000, 520,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,40
20000, -1,  0, -1, 480, 590, 700,2000,2000,2000, 620,2000, 600, 600, 590,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 590,70
26000, -1,  0, -1, 340, 470,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 620,2000,60
26000, -1,  0, -1, 340, 470,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 620,2000,60
28000, -1,  0, -1, 490,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000, 610, 620, 610, 770, 740,2000,2000,60
20000, -1,  0, -1, 460,2000,2000,2000,2000,2000,2000,2000,2000,2000, 660,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,70
