//傭兵基本データ
//Class,Name,JName,Lv,HP,SP,Range,Atk1,Atk2,Def,Mdef,Str,Agi,Vit,Int,Dex,Luk,Size,Race,Element,Speed,ADelay,aMotion,dMotion,{merc_script}
6035,MER_LANCER09,槍傭兵９等級,95,14648,398,3,440,660,60,25,100,25,77,25,63,18,1,7,20,150,450,432,300,{}
6036,MER_LANCER10,槍傭兵10等級,99,18000,413,3,700,950,70,30,120,30,90,30,70,30,1,7,20,150,450,432,300,{}

6037,MER_SWORDMAN01,剣傭兵１等級,20,502,70,1,174,261,26,0,21,27,5,1,30,3,1,7,20,150,700,432,300,{}
6038,MER_SWORDMAN02,剣傭兵２等級,30,979,99,1,258,387,31,0,26,38,6,1,35,3,1,7,20,150,700,432,300,{}
6039,MER_SWORDMAN03,剣傭兵３等級,40,1555,134,1,326,489,36,3,31,45,7,6,40,6,1,7,20,150,700,432,300,{}
6040,MER_SWORDMAN04,剣傭兵４等級,50,2397,162,1,382,573,39,5,37,59,8,6,40,6,1,7,20,150,575,432,300,{}
6041,MER_SWORDMAN05,剣傭兵５等級,60,3387,195,1,406,609,42,7,48,68,9,6,45,9,1,7,20,150,575,432,300,{}
6042,MER_SWORDMAN06,剣傭兵６等級,70,4495,241,1,436,654,45,12,53,79,10,12,50,9,1,7,20,150,575,432,300,{}
6043,MER_SWORDMAN07,剣傭兵７等級,80,5889,279,1,468,702,47,15,59,88,11,12,55,12,1,7,20,150,450,432,300,{}
6044,MER_SWORDMAN08,剣傭兵８等級,90,7520,325,1,500,750,49,18,70,95,12,18,60,15,1,7,20,150,450,432,300,{}
6045,MER_SWORDMAN09,剣傭兵９等級,95,9052,348,1,524,786,51,22,80,95,18,18,60,15,1,7,20,150,450,432,300,{}
6046,MER_SWORDMAN10,剣傭兵10等級,99,12355,451,1,760,1040,64,30,99,105,30,30,60,30,1,7,20,150,450,432,300,{}

1191,MIMIC,ミミック,51,6120,187,2,150,900,10,40,44,121,1,60,75,110,1,0,60,100,972,500,288,{}
1506,DISGUISE,ディスガイズ,55,7543,180,2,279,546,18,29,0,72,45,35,48,65,1,6,82,147,516,768,384,{}
1275,ALICE,アリス,62,10000,221,2,550,700,5,5,64,64,42,85,100,130,1,7,60,200,502,2304,480,{}
1965,M_WILD_ROSE,ワイルドローズ,38,2980,130,2,315,360,0,15,65,85,15,35,65,80,0,2,24,100,964,864,288,{}
1966,M_DOPPELGANGER,ドッペルゲンガー,72,249000,200,2,1340,1590,60,35,88,90,30,35,125,65,1,6,67,100,480,480,288,{}
1967,M_YGNIZEM,イグニゼム=セニア,58,11200,320,2,823,1212,35,8,60,35,52,18,79,20,1,7,43,145,576,432,288,{}
2000,M_GAMEMASTER,ゲームマスター,50,7000,250,2,50,100,6,17,1,109,60,215,111,10,0,7,20,150,450,432,300,{}
2001,F_GAMEMASTER,ゲームマスター,50,7000,250,2,50,100,6,17,1,109,60,215,111,10,0,7,20,150,450,432,300,{}
2034,M_DESERT_WOLF_B,子デザートウルフ,9,164,15,1,500,600,0,0,1,9,9,5,40,40,0,2,23,100,1600,900,240,{}
2037,VALKYRIE_A,ヴァルキリー,90,5000,15,1,10,160,10,20,1,20,40,0,20,20,1,8,66,100,576,576,480,{}
2037,VALKYRIE_B,ヴァルキリー,90,10000,15,1,300,450,10,40,1,20,80,0,80,20,1,8,66,100,576,576,480,{}
2058,M_MIMIC,ミミック,51,6120,182,1,800,950,10,40,44,121,1,60,75,110,1,0,60,100,972,500,288,{}
2059,M_DISGUISE,ディスガイズ,55,7543,180,2,526,693,18,29,0,72,45,35,48,65,1,6,82,147,516,768,384,{}
2060,M_ALICE,アリス,62,10000,221,1,700,850,5,5,64,64,42,85,100,130,1,7,60,200,502,1999,480,{}
2937,M_LOKI,ロキの残影,131,125000,1,2,401,176,121,24,76,66,90,55,189,22,1,7,20,175,800,750,300,{}
